식당(ID),식당명,도로명주소,지번주소,식당위도,식당경도,식당대표전화번호,영업신고증업태명,영업인허가명,음식점소개내용,식당상태
4912,동승루,강원도 원주시 이화4길 30,강원도 원주시 단계동 919-8,37.3401637,127.9326339,033-742-8166,중국식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면, ""동승루""를 꼭 방문해보세요. 2018년 05월 14일 SBS 생활의달인 623회에 방영된 유명 매장이랍니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
4914,새서울식당,강원도 원주시 지정면 간현로 185,강원도 원주시 지정면 간현리 1047-14,37.36424,127.8360296,033-731-6017,한식,일반음식점,"강원도 원주시에서 식당을 찾으신다면? ""새서울식당""을 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
5420,영월장칼국수,강원도 원주시 장미공원길 74,강원도 원주시 단계동 870-1,37.3455173,127.9288344,033-746-8046,한식,일반음식점,"강원도 원주시 근처로 갈 일정이 있으시다면, 맛집으로 소문난 ""영월장칼국수""를 꼭 방문해보세요. 2012년 05월 03일 KBS2 생생정보통 452회에 방영되었답니다. 다국어 메뉴판이 있는 매장입니다.",운영중
5423,무궁화집,강원도 원주시 중평길 59,강원도 원주시 평원동 241-11,37.3508659,127.9522289,033-742-4440,한식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면 ""무궁화집""을 추천합니다. 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
5424,청와대녹각삼계탕,강원도 원주시 중앙로 201-3,강원도 원주시 학성동 213-5,37.3537818,127.9469144,033-743-0014,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""청와대녹각삼계탕""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
6061,시골집,강원도 원주시 중평길 10-1,강원도 원주시 중앙동 114-28,37.3491744,127.9502519,033-742-6665,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""시골집""을 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
7053,고인돌,강원도 원주시 평원로 89-3,강원도 원주시 학성동 203-9,37.3526594,127.9486863,033-742-1931,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 강원도 원주시에 계시다면 ""고인돌""을 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
7055,동화장,강원도 원주시 치악로 1798,강원도 원주시 개운동 381-13,37.3430227,127.955397,033-762-6402,중국식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""동화장""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
7056,갈비&갈비,강원도 원주시 백간공원길 13-1,강원도 원주시 단계동 1100-4,37.3490582,127.9262288,033-734-9253,한식,일반음식점,"강원도 원주시에서 가 볼 만한 식당을 찾으신다면? ""갈비엔갈비""를 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다.",운영중
8490,낙원루,강원도 원주시 진광길 19,강원도 원주시 우산동 102-1,37.3717835,127.940047,033-742-2118,중국식,일반음식점,"강원도 원주시에서 어디를 갈지 고민이라면! ""낙원루""에 가보시는 건 어떨까요? 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
8492,태광곰탕,강원도 원주시 가현로 52,강원도 원주시 가현동 133-3,37.3870831,127.9430729,033-743-1175,한식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면 ""태광곰탕""을 추천합니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
8493,칭구,강원도 원주시 중앙시장길 11 원주중앙자유시장 지하1층,강원도 원주시 중앙동 57,37.3502286,127.9486248,033-745-6393,한식,일반음식점,"강원도 원주시에 가신다면 ""칭구""에 방문해보세요~ 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
8496,호남기사식당,강원도 원주시 북원로 2850-1,강원도 원주시 태장동 1960,37.3974159,127.9526459,033-734-2350,한식,일반음식점,"""호남기사식당""을 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
8498,간현짜장,강원도 원주시 지정면 간현로 160,강원도 원주시 지정면 간현리 863-5,37.3632887,127.8379056,033-731-6068,중국식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면 ""간현짜장""을 추천합니다. 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
8499,황둔막국수,강원도 원주시 신림면 신림황둔로 1242,강원도 원주시 신림면 송계리 661-4,37.2617844,128.1922861,033-764-2055,한식,일반음식점,"2019년 08월 30일 MBC 생방송오늘저녁 1143회, 2017년 02월 10일 MBC 생방송오늘저녁 539회 등 여러 방송에서 다룬 바로 그 곳! 강원도 원주시 인기 맛집 ""황둔막국수""를 방문해보세요! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
10213,돌풍식당,강원도 원주시 천사로 229-2,강원도 원주시 중앙동 2-1,37.3524103,127.9489899,033-745-8066,한식,일반음식점,"""돌풍식당""을 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
11916,우장군식당,강원도 원주시 감영길 18,강원도 원주시 원동 7-1,37.3471928,127.9504971,033-764-4933,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 강원도 원주시에 계시다면 ""우장군식당""을 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
13979,산모퉁이,강원도 원주시 판부면 영원산성길 147,강원도 원주시 판부면 금대리 714-4,37.2809557,128.0154079,033-765-2747,한식,일반음식점,"강원도 원주시에서 가 볼 만한 식당을 찾으신다면? ""산모퉁이""를 추천합니다! 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
13980,장터추어탕,강원도 원주시 문막읍 문막시장1길 52-17,강원도 원주시 문막읍 문막리 238-11,37.3058841,127.8151091,033-735-2025,한식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면 ""장터추어탕""을 추천합니다. 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
13983,큰곰,강원도 원주시 판부면 영원산성길 46,강원도 원주시 판부면 금대리 693-1,37.2754945,128.015438,033-763-3333,한식,일반음식점,"""큰곰""을 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
13985,파리바게뜨 원주삼익점,강원도 원주시 행구로 80 삼익아파트 상가,강원도 원주시 봉산동 1201,37.3416242,127.9660423,033-743-7584,제과점영업,제과점영업,"""파리바게뜨(원주삼익점)""를 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
16192,대림순대,강원도 원주시 판부면 내남송길 35-64,강원도 원주시 판부면 서곡리 383,37.3170549,127.9458886,033-735-0428,한식,일반음식점,"강원도 원주시에서 식당을 찾으신다면? ""대림순대""를 방문해보세요! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다.",운영중
16194,유원골,강원도 원주시 우산초교길 20-13,강원도 원주시 우산동 230-23,37.368243,127.938862,033-744-6820,한식,일반음식점,"강원도 원주시에서 어디를 갈지 고민이라면! ""유원골""에 가보시는 건 어떨까요? 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
16197,춘향골추어탕,강원도 원주시 도말리길 79,강원도 원주시 개운동 384-35,37.3425573,127.957087,033-766-5636,한식,일반음식점,"강원도 원주시에 가신다면 ""춘향골추어탕""에 방문해보세요~ 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
16201,별미칼국수,강원도 원주시 문막읍 석지1길 16,강원도 원주시 문막읍 건등리 1715-9,37.3106702,127.8176528,033-735-0637,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""별미칼국수""를 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
20925,진수성찬양평해장국,강원도 원주시 치악로 1803,강원도 원주시 명륜동 26,37.3430567,127.9544991,033-766-1803,한식,일반음식점,"""진수성찬양평해장국""을 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
20926,돈채,강원도 원주시 치악로 1645,강원도 원주시 단구동 623-5,37.3295387,127.9591112,033-761-1268,한식,일반음식점,"강원도 원주시에서 가 볼 만한 식당을 찾으신다면? ""돈채""를 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
20931,지박사막국수,강원도 원주시 백간길 146,강원도 원주시 일산동 246-19,37.3518336,127.9396541,033-742-0068,한식,일반음식점,"""지박사막국수""를 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
20932,미소아식당,강원도 원주시 상지대길 69,강원도 원주시 우산동 202-25,37.3699442,127.9350822,033-744-2846,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""미소아식당""을 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
20935,신혼부부,강원도 원주시 중앙시장길 11,강원도 원주시 중앙동 56-44,37.350809,127.9487726,033-745-8037,분식,일반음식점,"무엇을 먹을지 고민되신다고요? 강원도 원주시에 계시다면 ""신혼부부""를 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
20939,모두량스낵,강원도 원주시 중앙시장길 11 원주중앙시장 지하1층,강원도 원주시 중앙동 57,37.350809,127.9487726,033-745-8728,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""모두량스낵""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
20940,임자칼국수,강원도 원주시 우무개로 45,강원도 원주시 우산동 294-3,37.3650184,127.936278,033-747-0891,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""임자칼국수""를 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
20944,대구막창,강원도 원주시 우산로 38,강원도 원주시 우산동 234-3,37.3676198,127.9366025,033-746-6848,한식,일반음식점,"강원도 원주시에서 식당을 찾으신다면? ""대구막창""을 방문해보세요! 다국어 메뉴판이 있는 매장입니다.",운영중
20946,덤바위집,강원도 원주시 흥업면 북원로 1187-11,강원도 원주시 흥업면 매지리 1712-5,37.2574435,127.8996274,033-762-4031,한식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면 ""덤바위집""을 추천합니다. 다국어 메뉴판이 있는 매장입니다.",운영중
23628,풍년해장국,강원도 원주시 남원로527번길 6-29,강원도 원주시 명륜동 502,37.332902,127.9456679,033-763-1223,한식,일반음식점,"강원도 원주시에서 어디를 갈지 고민이라면! ""풍년해장국""에 가보시는 건 어떨까요? 다국어 메뉴판이 있는 매장입니다.",운영중
23631,45jung,강원도 원주시 중앙시장길 11 원주중앙시장지하1층,강원도 원주시 중앙동 57,37.350809,127.9487726,033-743-9145,한식,일반음식점,"강원도 원주시에서 어디를 갈지 고민이라면! ""사오정 수제돈까스""에 가보시는 건 어떨까요? 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
23634,장우숯불구이,강원도 원주시 중앙시장길 11,강원도 원주시 중앙동 57,37.350809,127.9487726,033-743-3669,한식,일반음식점,"강원도 원주시 근처로 갈 일정이 있으시다면, 맛집으로 소문난 ""장우숯불구이""를 꼭 방문해보세요. 2015년 05월 01일 KBS2 VJ특공대 760회에 방영되었답니다. 다국어 메뉴판이 있는 매장입니다.",운영중
23639,퓨전탕수육,강원도 원주시 흥업면 매남동길 3-2,강원도 원주시 흥업면 매지리 1238-1,37.275504,127.9074486,033-763-0560,중국식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""퓨전탕수육(흥업점)""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
26695,선돈식당,강원도 원주시 남부시장길 18,강원도 원주시 명륜동 39-33,37.3429866,127.9538703,033-761-2265,한식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면 ""선돈식당""을 추천합니다. 다국어 메뉴판이 있는 매장입니다.",운영중
26699,해바라기 아구찜•북어찜,강원도 원주시 송림길 48-33,강원도 원주시 단구동 1464-20,37.3307413,127.9517359,033-761-1006,한식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면 ""해바라기아구찜.북어찜""을 추천합니다. 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
26704,페리카나 학성점,강원도 원주시 천사로 164 1층,강원도 원주시 일산동 233-29,37.3493692,127.9424895,033-748-4456,호프/통닭,일반음식점,"""페리카나치킨(학성점)""은 강원도 원주시에 있습니다. 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
26706,달구지해물찜,강원도 원주시 북원여중길 12,강원도 원주시 태장동 1364-20,37.386656,127.9493322,050-7461-0289,한식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면 ""달구지해물찜""을 추천합니다. 배달 가능한 매장입니다.",운영중
26709,메이키스,강원도 원주시 중앙시장길 11 31-1,강원도 원주시 중앙동 59-15,37.350809,127.9487726,033-743-5952,한식,일반음식점,"2015년 08월 24일 SBS 생방송투데이 1470회에서 소개되었던 맛집, ""메이키스""입니다! 강원도 원주시 근처라면 방문해보세요. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
26714,금정반점,강원도 원주시 천사로 234,강원도 원주시 중앙동 35-1,37.352154,127.9494592,033-742-2435,중국식,일반음식점,"""금정반점""을 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
26718,페리카나 도영점,강원도 원주시 남원로527번길 6-34,강원도 원주시 명륜동 484,37.3331813,127.9456346,033-762-8668,호프/통닭,일반음식점,"""페리카나치킨(도영점)""을 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
26720,강변가든,강원도 원주시 호저면 호저로 628-10,강원도 원주시 호저면 주산리 749-14,37.4282639,127.9225163,033-765-6721,한식,일반음식점,"""강변가든""을 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
26721,호수집,강원도 원주시 흥업면 북원로 1453-14,강원도 원주시 흥업면 매지리 1432,37.2812582,127.9090483,033-762-4013,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 강원도 원주시에 계시다면 ""호수집""을 추천합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
30897,이서방양념치킨,강원도 원주시 남산로 15-1,강원도 원주시 명륜동 166-6,37.3406565,127.9439948,033-764-2400,한식,일반음식점,"강원도 원주시에서 어디를 갈지 고민이라면! ""이서방 양념치킨(명륜점)""에 가보시는 건 어떨까요? 다국어 메뉴판이 있는 매장입니다.",운영중
30903,123돼지부속중앙점,강원도 원주시 중앙로 38,강원도 원주시 인동 25-13,37.3468449,127.9535659,033-764-5972,한식,일반음식점,"강원도 원주시에서 식당을 찾으신다면? ""123돼지부속(중앙점)""을 방문해보세요! 다국어 메뉴판이 있는 매장입니다.",운영중
30905,만웅곰탕,강원도 원주시 만대공원길 41,강원도 원주시 무실동 1727-3,37.338539,127.9260024,033-731-1020,한식,일반음식점,"강원도 원주시에서 가 볼 만한 식당을 찾으신다면? ""만웅곰탕""을 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
30906,페리카나 진우점,강원도 원주시 현충로 272,강원도 원주시 태장동 1034-1,37.3778404,127.9497439,033-742-8371,호프/통닭,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""페리카나치킨(진우점)""을 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
30909,만석보리밥,강원도 원주시 중앙시장길 11(자유시장 31부럭 7호),강원도 원주시 중앙동 57,37.350809,127.9487726,033-748-3716,한식,일반음식점,"강원도 원주시에서 어디를 갈지 고민이라면! ""만석보리밥""에 가보시는 건 어떨까요? 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
30920,김삿갓,강원도 원주시 지정면 간현로 191,강원도 원주시 지정면 간현리 1047-11,37.3643232,127.8357076,033-732-9667,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 강원도 원주시에 계시다면 ""김삿갓""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
30922,흥업매지리막국수,강원도 원주시 흥업면 미촌길 10,강원도 원주시 흥업면 매지리 1049,37.2610745,127.9039619,033-763-7057,한식,일반음식점,"강원도 원주시에 방문하신다면, ""흥업매지리막국수""에 가보시는 것은 어떨까요? 2019년 05월 13일 SBS 생활의달인 670회에 방영되었을 만큼 소문난 매장이랍니다! 레드테이블에서 온라인 예약이 가능합니다! 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
36141,청화대,강원도 원주시 무실로 61,강원도 원주시 원동 256-12,37.3460408,127.9469052,033-764-5764,중국식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""청화대""를 추천합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
36144,굴뚝마차,강원도 원주시 치악로 1619,강원도 원주시 단구동 719-6,37.3274876,127.959952,033-766-5520,호프/통닭,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""굴뚝마차""를 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
36149,물곰.해장국.해물찜,강원도 원주시 치악로 1526,강원도 원주시 단구동 1476-7,37.3205114,127.9654948,033-764-8494,한식,일반음식점,"""물곰.해장국.해물찜""은 강원도 원주시에 있습니다. 다국어 메뉴판이 있는 매장입니다.",운영중
36151,아리랑숯불구이,강원도 원주시 일산로 52-14,강원도 원주시 원동 246-11,37.3465358,127.9485107,033-747-9292,한식,일반음식점,"강원도 원주시에서 가 볼 만한 식당을 찾으신다면? ""아리랑숯불구이""를 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
36152,현분식,강원도 원주시 우산초교길 58,강원도 원주시 우산동 226-10,37.368485,127.9367869,033-731-3562,한식,일반음식점,"강원도 원주시에서 식당을 찾으신다면? ""현분식""을 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
36154,원식당,강원도 원주시 양지로 16 2층,강원도 원주시 반곡동 1880-8,37.3245339,127.9805053,033-744-1114,한식,일반음식점,"""원식당(혁신도시점)""을 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다.",운영중
36156,북원오리구이,강원도 원주시 북원여중길 15,강원도 원주시 태장동 1355-1,37.38688,127.9496786,033-743-7340,한식,일반음식점,"""북원오리구이""는 강원도 원주시에 있습니다. 다국어 메뉴판이 있는 매장입니다.",운영중
36161,새참과끼니,강원도 원주시 우산로 58,강원도 원주시 우산동 136-8,37.3689516,127.9369019,033-743-8285,한식,일반음식점,"""새참과끼니""를 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 다국어 메뉴판, 무선 인터넷이 있는 매장입니다.",운영중
36163,아우룸갈비,강원도 원주시 신림면 제원로 1419-2,강원도 원주시 신림면 신림리 690-15,37.227538,128.0821484,033-763-7760,한식,일반음식점,"강원도 원주시에서 가 볼 만한 식당을 찾으신다면? ""아우룸 갈비""를 추천합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
36167,청해진식당,강원도 원주시 지정면 간현로 187,강원도 원주시 지정면 간현리 1047-13,37.3642691,127.8359155,033-732-6201,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""청해진식당""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판, 무선 인터넷이 있는 매장입니다.",운영중
36169,일호집,강원도 원주시 문막읍 문막시장2길 55,강원도 원주시 문막읍 문막리 278-2,37.3057307,127.8168631,033-735-7610,정종/대포집/소주방,일반음식점,"무엇을 먹을지 고민되신다고요? 강원도 원주시에 계시다면 ""일호집""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
36171,흥업손칼국수,강원도 원주시 흥업면 남원로 72,강원도 원주시 흥업면 흥업리 586-7,37.3024217,127.9201934,033-762-5104,한식,일반음식점,"강원도 원주시에서 맛집을 찾으신다면 ""흥업손칼국수""를 추천합니다. 다국어 메뉴판이 있는 매장입니다.",운영중
36172,처갓집손짜장,강원도 원주시 남원로 64,강원도 원주시 흥업면 흥업리 585-7,37.3018087,127.9198684,033-763-4801,중국식,일반음식점,"강원도 원주시에서 식당을 찾으신다면? ""처가집손짜장""을 방문해보세요! 다국어 메뉴판이 있는 매장입니다.",운영중
36174,장수촌,강원도 원주시 판부면 치악로 1021-4,강원도 원주시 판부면 금대리 851-3,37.2841761,127.9970468,033-762-2525,한식,일반음식점,"강원도 원주시에서 가 볼 만한 식당을 찾으신다면? ""장수촌""을 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
36179,파리바게뜨 원주1호점,강원도 원주시 원일로115번길 5 (일산동),강원도 원주시 일산동 72-3,37.3500994,127.9481307,033-745-8280,제과점영업,제과점영업,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""파리바게뜨(원주1호점)""를 추천합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
41779,장수칼국수,강원도 원주시 학성길 110,강원도 원주시 학성동 267-9,37.3536198,127.9437985,033-746-9179,한식,일반음식점,"강원도 원주시에서 가 볼 만한 식당을 찾으신다면? ""장수칼국수""를 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판, 무선 인터넷이 있는 매장입니다.",운영중
