발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2012,2012-04-27 19:00,야간,금,1,1,0,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,중앙선 침범,단일로,기타단일로,승용차,대형,1044036,1927337,127.9971667,37.34401448
2012,2012-03-16 6:00,주간,금,1,9,2,6,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,승합차,대형,1036934,1922845,127.9167636,37.30383474
2012,2012-04-02 8:00,주간,월,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,중형,1037595,1926779,127.9212712,37.34119029
2012,2012-02-28 11:00,주간,화,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상,건설기계,건설기계,1038597,1928695,127.9358329,37.35649711
2012,2012-01-22 20:00,야간,일,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,1028077,1923819,127.8168596,37.31292394
2012,2012-02-24 2:00,야간,금,1,1,0,0,0,강원,원주시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,교량위,승용차,중형,1035836,1929099,127.850622,37.33164072
2012,2012-03-29 17:00,주간,목,2,4,1,1,0,강원,원주시,차대사람,보도통행중,보도통행중,중앙선 침범,단일로,기타단일로,승용차,경형,1044868,1929482,128.0066896,37.36330867
2012,2012-03-02 7:00,주간,금,1,1,0,0,0,강원,원주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,소형,1035877,1935328,127.9054415,37.41639359
2012,2012-02-02 7:00,주간,목,1,1,0,0,0,강원,원주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,1040031,1927959,127.9519852,37.34980233
2012,2012-12-14 9:00,주간,금,1,4,1,2,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,1022576,1915933,127.7545399,37.24199013
2012,2012-02-22 0:00,야간,수,1,1,0,0,0,강원,원주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1038934,1928749,127.9402056,37.35696766
2012,2012-06-22 1:00,야간,금,1,1,0,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,교차로 통행방법 위반,교차로,교차로내,승용차,중형,1040967,1924224,127.9623468,37.31609558
2012,2012-09-13 18:00,야간,목,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,교량위,승용차,중형,1043296,1927845,127.9888421,37.34862819
2012,2012-08-30 23:00,야간,목,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,1041924,1925876,127.9732404,37.3309434
2012,2012-02-07 1:00,야간,화,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,1039858,1929019,127.950089,37.3593642
2012,2012-02-21 20:00,야간,화,1,1,0,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,화물차,대형,1039992,1933205,127.9518284,37.39708924
2012,2012-12-11 12:00,주간,화,1,1,0,0,0,강원,원주시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,1029764,1923928,127.8359021,37.31385394
2012,2012-11-11 21:00,야간,일,1,2,0,1,0,강원,원주시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1037747,1927047,127.926151,37.34167759
2012,2012-12-21 1:00,야간,금,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,1040746,1925561,127.9599261,37.32815654
2012,2012-12-01 22:00,야간,토,1,1,0,0,0,강원,원주시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,원동기장치자전거,1029170,1924987,127.8292402,37.32341839
2012,2012-02-05 19:00,야간,일,1,1,0,0,0,강원,원주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1040723,1925169,127.959645,37.3246242
2012,2012-11-26 18:00,야간,월,1,1,0,0,0,강원,원주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,1039498,1926138,127.9458703,37.33341134
2012,2012-06-24 16:00,주간,일,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1049366,1937542,128.0580214,37.43572811
2012,2012-07-15 6:00,주간,일,1,2,1,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,이륜차,중형,1041754,1927121,127.9713916,37.342173
2012,2012-08-19 23:00,야간,일,1,1,0,0,0,강원,원주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,신호위반,단일로,기타단일로,승합차,대형,1040393,1934237,127.9540571,37.40321005
2012,2012-11-07 9:00,주간,수,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,중형,1040944,1925718,127.9621697,37.32956297
2012,2012-09-09 13:00,주간,일,1,1,0,0,0,강원,원주시,차대차,기타,기타,신호위반,교차로,교차로내,이륜차,중형,1040237,1924511,127.9541239,37.3187144
2012,2012-07-23 11:00,주간,월,1,1,0,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,교차로 통행방법 위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,1061167,1918327,128.1898226,37.26183368
2012,2012-08-26 13:00,주간,일,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,1051322,1914729,128.0785514,37.2299976
2012,2012-01-18 13:00,주간,수,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1041011,1925454,127.9613143,37.33181977
2012,2012-07-20 21:00,야간,금,1,1,0,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,교차로 통행방법 위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,1052367,1913054,128.0902134,37.21484167
2012,2012-07-27 21:00,야간,금,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,소형,1040960,1935653,127.9629003,37.41911203
2012,2012-07-09 1:00,야간,월,1,1,0,0,0,강원,원주시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,1036953,1922222,127.9169469,37.29821843
2012,2012-06-05 21:00,야간,화,1,3,0,2,0,강원,원주시,차대차,기타,기타,보행자 보호의무 위반,교차로,교차로부근,승용차,중형,1030830,1925682,127.8480051,37.32962934
2012,2012-10-10 11:00,주간,수,1,2,0,1,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1030349,1925168,127.8425547,37.3250121
2012,2012-04-02 20:00,야간,월,1,1,0,0,0,강원,원주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,1045727,1919476,128.0157732,37.27307685
2012,2012-07-31 19:00,야간,화,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,화물차,소형,1040104,1925130,127.9526564,37.3242996
2012,2012-10-12 10:00,주간,금,1,1,0,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,안전운전 의무 불이행,교차로,교차로부근,화물차,경형,1042050,1923789,127.9745443,37.31212626
2013,2013-10-07 23:00,야간,월,1,2,1,0,0,강원,원주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1028360,1922630,127.8200078,37.30219792
2013,2013-04-18 18:00,야간,목,1,1,0,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,1037927,1928637,127.9283714,37.35592314
2013,2013-02-19 13:00,주간,화,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,1038429,1927667,127.9338826,37.34723807
2013,2013-10-20 1:00,야간,일,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1038056,1925177,127.9295435,37.32480942
2013,2013-01-22 18:00,야간,화,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1026998,1922748,127.8042489,37.30302008
2013,2013-06-12 15:00,주간,수,1,3,1,1,0,강원,원주시,차대차,추돌,진행중 추돌,안전거리 미확보,단일로,기타단일로,승합차,소형,1037906,1925339,127.9278587,37.32627577
2013,2013-02-01 0:00,야간,금,1,1,0,0,0,강원,원주시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,중형,1039527,1927343,127.9462619,37.34427154
2013,2013-05-03 12:00,주간,금,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,건설기계,건설기계,1040864,1935097,127.9616983,37.41404201
2013,2013-09-11 0:00,야간,수,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,대형,1029510,1924720,127.8330671,37.32100097
2013,2013-10-02 3:00,야간,수,1,1,0,0,0,강원,원주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,1036782,1921153,127.9149646,37.28858952
2013,2013-12-03 21:00,야간,화,1,1,0,0,0,강원,원주시,차대차,추돌,진행중 추돌,과속,단일로,기타단일로,승용차,중형,1036700,1930058,127.9298437,37.40518083
2013,2013-09-08 0:00,야간,일,1,5,0,4,0,강원,원주시,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,승용차,중형,1039991,1933214,127.9518176,37.39717041
2013,2013-10-30 14:00,주간,수,1,1,0,0,0,강원,원주시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,이륜차,사발이,1049863,1936981,128.05916,37.43197576
2013,2013-07-25 17:00,주간,목,1,1,0,0,0,강원,원주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,1040470,1925680,127.9565499,37.32907371
2013,2013-09-20 18:00,야간,금,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,1040019,1925668,127.951726,37.32915261
2013,2013-03-22 15:00,주간,금,1,1,0,0,0,강원,원주시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,기타/불명,기타/불명,농기계,농기계,1061329,1918280,128.1916659,37.26040955
2013,2013-10-05 5:00,야간,토,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1040385,1926960,127.9559276,37.34078238
2013,2013-11-01 7:00,주간,금,1,1,0,0,0,강원,원주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,경형,1025627,1931592,127.7894796,37.38305889
2013,2013-06-01 17:00,주간,토,1,1,0,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,1039119,1930370,127.9418743,37.3715647
2013,2013-09-22 20:00,야간,일,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,소형,1039936,1932995,127.9511844,37.39519882
2013,2013-09-28 18:00,야간,토,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,중형,1038209,1933817,127.9317163,37.4026808
2013,2013-10-17 3:00,야간,목,1,1,0,0,0,강원,원주시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1038001,1926270,127.9289787,37.33466361
2013,2013-10-14 8:00,주간,월,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,1039526,1925830,127.9461699,37.33063394
2013,2013-08-10 20:00,야간,토,1,5,2,2,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,승용차,경형,1040985,1935725,127.9629953,37.41968673
2013,2013-07-31 7:00,주간,수,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,과속,교차로,교차로내,화물차,소형,1039541,1928525,127.9465181,37.35493032
2013,2013-04-03 8:00,주간,수,1,1,0,0,0,강원,원주시,차대차,추돌,진행중 추돌,차로위반(진로변경 위반),단일로,기타단일로,자전거,자전거,1029328,1925689,127.8300172,37.32946004
2013,2013-05-04 5:00,야간,토,1,2,1,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,중앙선 침범,단일로,기타단일로,승용차,소형,1027948,1921903,127.8153316,37.29565734
2013,2013-06-15 21:00,야간,토,1,1,0,0,0,강원,원주시,차대사람,기타,기타,부당한 회전,단일로,기타단일로,승용차,중형,1029706,1930871,127.8367776,37.41236455
2014,2014-03-15 19:00,야간,토,1,2,1,0,0,강원,원주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,1052159,1915662,128.0880517,37.23836082
2014,2014-03-06 0:00,야간,목,1,1,0,0,0,강원,원주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,중형,1038445,1927240,127.934041,37.34338858
2014,2014-04-28 5:00,야간,월,1,1,0,0,0,강원,원주시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,1032238,1926322,127.8638156,37.33540835
2014,2014-05-13 13:00,주간,화,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,1044763,1920193,127.994365,37.28962579
2014,2014-10-28 1:00,야간,화,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,경형,1040406,1934297,127.9565653,37.40691405
2014,2014-07-01 18:00,야간,화,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,소형,1039149,1927908,127.9409167,37.34901032
2014,2014-03-25 4:00,야간,화,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,소형,1040798,1929208,127.9607139,37.3610269
2014,2014-11-21 3:00,야간,금,1,3,1,1,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,안전운전 의무 불이행,교차로,교차로내,화물차,소형,1038272,1926223,127.9320354,37.33422884
2014,2014-08-12 0:00,야간,화,1,1,0,0,0,강원,원주시,차대차,기타,기타,신호위반,교차로,교차로내,승용차,중형,1038383,1927279,127.9333431,37.34374268
2014,2014-05-05 18:00,야간,월,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,과속,단일로,횡단보도상,화물차,대형,1039628,1928436,127.9474606,37.35411912
2014,2014-12-27 16:00,주간,토,1,1,0,0,0,강원,원주시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,중형,1040011,1933203,127.9520429,37.3970704
2014,2014-12-27 15:00,주간,토,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,1039239,1931139,127.9432116,37.37849941
2014,2014-10-23 8:00,주간,목,1,2,0,1,0,강원,원주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,화물차,소형,1030592,1927985,127.8454137,37.35039587
2014,2014-03-27 17:00,주간,목,1,1,0,0,0,강원,원주시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,1044080,1935096,127.9981258,37.41394822
2014,2014-11-03 16:00,주간,월,1,2,1,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,교차로 통행방법 위반,교차로,교차로내,화물차,소형,1037445,1928350,127.9228075,37.35343462
2014,2014-01-14 22:00,야간,화,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1027870,1923066,127.814396,37.30616557
2014,2014-11-22 17:00,주간,토,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,1022255,1914293,127.7508717,37.22721492
2014,2014-01-01 21:00,야간,수,1,7,6,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,승용차,중형,1030993,1925815,127.8498506,37.33082274
2014,2014-10-15 16:00,주간,수,1,2,0,1,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,1031358,1931419,127.8542079,37.38132334
2014,2014-08-26 4:00,야간,화,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1040634,1925897,127.9586803,37.33119003
2014,2014-11-08 14:00,주간,토,1,1,0,0,0,강원,원주시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,1023477,1912717,127.772152,37.2212493
2014,2014-09-06 20:00,야간,토,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,중형,1040196,1928026,127.9538518,37.3503991
2014,2014-09-05 8:00,주간,금,1,1,0,0,0,강원,원주시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,특수차,대형,1035567,1928663,127.8795377,37.34871388
2014,2014-12-06 18:00,야간,토,1,1,0,0,0,강원,원주시,차대차,기타,기타,교차로 통행방법 위반,교차로,교차로내,승용차,중형,1040524,1929261,127.9576227,37.36151663
2014,2014-10-20 7:00,주간,월,1,2,1,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,교량위,승용차,중형,1025121,1920752,127.7833966,37.28536304
2014,2014-08-29 14:00,주간,금,1,1,0,0,0,강원,원주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1034926,1930297,127.8945233,37.37124899
2014,2014-11-12 22:00,야간,수,1,2,1,0,0,강원,원주시,차대차,기타,기타,중앙선 침범,단일로,기타단일로,승용차,중형,1044055,1935054,127.9978408,37.41357084
2014,2014-02-05 13:00,주간,수,1,2,1,0,0,강원,원주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,1048656,1917536,128.048604,37.25536385
2014,2014-03-29 13:00,주간,토,1,4,3,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,교량위,승합차,소형,1035793,1929703,127.9042199,37.36569529
2014,2014-01-23 14:00,주간,목,1,2,0,1,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,1049710,1916376,128.0604901,37.24493043
2014,2014-08-13 20:00,야간,수,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,1038822,1928746,127.9383761,37.35694742
2014,2014-06-05 1:00,야간,목,1,2,0,1,0,강원,원주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1037475,1925956,127.9225398,37.32781823
2014,2014-05-09 11:00,주간,금,1,1,0,0,0,강원,원주시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1034660,1932835,127.8915717,37.39396905
2014,2014-01-04 7:00,주간,토,1,1,0,0,0,강원,원주시,차대사람,기타,기타,보행자 보호의무 위반,교차로,교차로부근,승용차,중형,1040019,1927554,127.9518278,37.34615233
2014,2014-05-22 13:00,주간,목,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,1038586,1927794,127.9356617,37.34837629
2014,2014-06-22 20:00,야간,일,1,5,2,2,0,강원,원주시,차대차,정면충돌,정면충돌,중앙선 침범,교차로,교차로내,승용차,중형,1044633,1936109,128.004436,37.42305234
2014,2014-07-23 7:00,주간,수,1,3,1,1,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,특수차,소형,1035952,1929015,127.9059312,37.35948522
2014,2014-07-16 13:00,주간,수,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,건설기계,건설기계,1041758,1927123,127.9714368,37.34219085
2014,2014-06-06 21:00,야간,금,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1035763,1918587,127.9033454,37.26549989
2015,2015-01-07 11:25,주,수,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,1048464,1912401,128.0461833,37.20916675
2015,2015-01-21 0:30,야,수,1,4,3,0,0,강원,원주시,차대차,측면충돌,측면충돌,과속,교차로,교차로내,승용차,중형,1039338,1926275,127.9440714,37.334653
2015,2015-01-22 21:35,야,목,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,1040210,1924518,127.9538196,37.31877866
2015,2015-02-17 18:05,야,화,1,2,1,0,0,강원,원주시,차대차,추돌,주정차중 추돌,안전거리 미확보,교차로,교차로부근,화물차,중형,1042693,1932491,127.982302,37.39053306
2015,2015-02-26 7:25,주,목,1,2,1,0,0,강원,원주시,차대차,추돌,주정차중 추돌,중앙선 침범,단일로,기타단일로,승용차,중형,1054567,1917167,128.1153089,37.25178827
2015,2015-03-12 0:16,야,목,1,2,0,1,0,강원,원주시,차대사람,횡단중,횡단중,과속,교차로,교차로부근,승용차,중형,1039140,1926483,127.9418473,37.33653621
2015,2015-04-23 10:25,주,목,2,3,1,0,0,강원,원주시,차대차,측면충돌,측면충돌,기타(운전자법규위반),단일로,기타단일로,승합차,중형,1038530,1933247,127.9353134,37.39752978
2015,2015-04-23 21:57,야,목,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,1040569,1934885,127.9584394,37.41220687
2015,2015-04-25 23:19,야,토,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1040687,1925199,127.9592403,37.32489619
2015,2015-04-26 3:50,야,일,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1039574,1927555,127.9468038,37.34618042
2015,2015-05-06 10:25,주,수,1,1,0,0,0,강원,원주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,교차로,교차로부근,화물차,경형,1047008,1937925,128.0313926,37.43930306
2015,2015-05-29 2:27,야,금,1,1,0,0,0,강원,원주시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1030843,1925680,127.8481518,37.32961088
2015,2015-06-04 5:08,야,목,1,8,2,5,0,강원,원주시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,중형,1040577,1924371,127.9579535,37.3174377
2015,2015-06-17 21:25,야,수,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1037271,1928867,127.9208689,37.35810167
2015,2015-06-28 4:00,야,일,1,1,0,0,0,강원,원주시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,1037607,1925821,127.9245083,37.33063252
2015,2015-07-13 10:45,주,월,1,1,0,0,0,강원,원주시,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,이륜차,소형,1037308,1935650,127.9216289,37.41923939
2015,2015-08-03 3:35,야,월,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,1040573,1934551,127.9584662,37.40919619
2015,2015-08-09 20:22,야,일,1,1,0,0,0,강원,원주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,1042196,1937477,127.9769725,37.43549707
2015,2015-08-13 23:40,야,목,1,3,0,2,0,강원,원주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,중형,1039261,1926174,127.9431969,37.33374588
2015,2015-08-21 22:51,야,금,1,1,0,0,0,강원,원주시,차대차,추돌,진행중 추돌,신호위반,교차로,교차로내,이륜차,소형,1038663,1925313,127.9364017,37.32601021
2015,2015-08-23 1:35,야,일,1,3,1,1,0,강원,원주시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,이륜차,소형,1032891,1926565,127.8713082,37.33751775
2015,2015-08-27 21:21,야,목,2,2,0,0,0,강원,원주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,화물차,소형,1040745,1927214,127.9600057,37.34305611
