瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),泅瘤扁拘 QC敲贰弊,秦搁扁拘(hPa),秦搁扁拘 QC敲贰弊,老炼(hr),老炼 QC敲贰弊,老荤(MJ/m2),老荤 QC敲贰弊,利汲(cm),3矫埃脚利汲(cm),傈款樊(10盒困),吝窍摸款樊(10盒困),款屈(款屈距绢),弥历款绊(100m ),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C),瘤搁柯档 QC敲贰弊,5cm 瘤吝柯档(∑C),10cm 瘤吝柯档(∑C),20cm 瘤吝柯档(∑C),30cm 瘤吝柯档(∑C)
114,盔林,2021-01-02,-5.6,,,,0.2,,0,,87,,3.5,-7.4,1006.5,,1025.9,,,9,,9,,,5,4,,15,611,,,-6,,,,,
114,盔林,2021-01-02,-6.1,,,,0.2,,0,,88,,3.4,-7.7,1006.5,,1025.9,,,9,,9,,,0,0,,,481,,,-6.7,,,,,
114,盔林,2021-01-02,-6.6,,,,0.2,,0,,89,,3.3,-8.1,1006.9,,1026.4,,,9,,9,,,0,0,,,392,,,-7.1,,,,,
114,盔林,2021-01-02,-7,,,,0.4,,0,,89,,3.2,-8.5,1007,,1026.5,,,9,,9,,,0,0,,,441,,,-7.5,,,,,
114,盔林,2021-01-02,-7.5,,,,0.1,,0,,89,,3.1,-9,1007.2,,1026.7,,,9,,9,,,0,0,,,437,,,-7.9,,,,,
114,盔林,2021-01-02,-8.2,,,,0.3,,0,,88,,2.9,-9.8,1007.5,,1027.1,,,9,,9,,,0,0,,,425,,,-8.2,,,,,
114,盔林,2021-01-02,-8.5,,,,0.1,,0,,87,,2.8,-10.2,1007.7,,1027.3,,,9,,9,,,0,0,,,429,,,-8.5,,,,,
114,盔林,2021-01-02,-8.8,,,,0.1,,0,,87,,2.8,-10.5,1008.3,,1028,,0,,0,,,,0,0,,,482,,,-8.7,,,,,
114,盔林,2021-01-02,-7.3,,,,0,,0,,79,,2.8,-10.3,1009,,1028.6,,0.7,,0.4,,,,0,0,,,886,,,-7,,,,,
114,盔林,2021-01-02,-4.8,,,,1.1,,270,,41,,1.8,-16,1009.8,,1029.2,,1,,1.05,,,,0,0,,,2000,,,-4.9,,,,,
114,盔林,2021-01-02,-4,,,,2,,230,,29,,1.3,-19.4,1009.8,,1029.1,,1,,1.8,,,,0,0,,,2000,,,-0.4,,,,,
114,盔林,2021-01-02,-2.8,,,,1.7,,290,,24,,1.2,-20.6,1009.7,,1028.9,,1,,1.91,,,,0,0,,,2000,,,2.3,,,,,
114,盔林,2021-01-02,-2,,,,2.8,,250,,23,,1.2,-20.4,1009.3,,1028.5,,1,,1.93,,,,0,0,,,1994,,,4.6,,,,,
114,盔林,2021-01-02,-0.9,,,,2.3,,270,,23,,1.3,-19.4,1008.7,,1027.8,,1,,1.79,,,,0,0,,,1990,,,5.1,,,,,
114,盔林,2021-01-02,-1,,,,2.4,,250,,22,,1.3,-20,1008.8,,1027.9,,1,,1.44,,,,0,0,,,2000,,,-0.2,,,,,
114,盔林,2021-01-02,-1.1,,,,2.3,,290,,23,,1.3,-19.6,1008.9,,1028,,1,,0.93,,,,0,0,,,2000,,,-0.4,,,,,
114,盔林,2021-01-02,-1.9,,,,1.7,,250,,24,,1.3,-19.8,1009.7,,1028.9,,0.9,,0.34,,,,0,0,,,2000,,,-1.1,,,,,
114,盔林,2021-01-02,-2.3,,,,2,,230,,28,,1.5,-18.3,1010.4,,1029.6,,0,,0,,,,0,0,,,2000,,,-2.7,,,,,
114,盔林,2021-01-02,-2.9,,,,1.8,,270,,30,,1.5,-18,1011.2,,1030.5,,,9,,9,,,0,0,,,2000,,,-4.1,,,,,
114,盔林,2021-01-02,-3.4,,,,0.6,,230,,32,,1.5,-17.7,1011.5,,1030.8,,,9,,9,,,0,0,,,1990,,,-5.2,,,,,
114,盔林,2021-01-02,-3.9,,,,0.8,,200,,38,,1.7,-16.1,1011.8,,1031.2,,,9,,9,,,0,0,,,1992,,,-6.2,,,,,
114,盔林,2021-01-02,-5.1,,,,0.3,,0,,47,,2,-14.6,1011.8,,1031.3,,,9,,9,,,0,0,,,2000,,,-6.9,,,,,
114,盔林,2021-01-02,-5.9,,,,0.2,,0,,53,,2.1,-13.9,1011.6,,1031.1,,,9,,9,,,0,0,,,1900,,,-7.5,,,,,
114,盔林,2021-01-03,-6.9,,,,0.6,,110,,59,,2.2,-13.5,1011.9,,1031.5,,,9,,9,,,0,0,,,1692,,,-8.1,,,,,
114,盔林,2021-01-03,-7.2,,,,0.6,,90,,61,,2.2,-13.4,1012.9,,1032.5,,,9,,9,,,0,0,,,1525,,,-8.3,,,,,
114,盔林,2021-01-03,-7.6,,,,0.6,,270,,59,,2,-14.2,1013.4,,1033.1,,,9,,9,,,0,0,,,1679,,,-8.7,,,,,
114,盔林,2021-01-03,-8.4,,,,0.4,,0,,62,,2,-14.3,1014,,1033.8,,,9,,9,,,3,0,,,1970,,,-9.1,,,,,
114,盔林,2021-01-03,-8.6,,,,0.2,,0,,61,,2,-14.7,1014.2,,1034,,,9,,9,,,0,0,,,1791,,,-9.4,,,,,
114,盔林,2021-01-03,-9.2,,,,0.9,,90,,63,,1.9,-14.9,1014.4,,1034.2,,,9,,9,,,0,0,,,1747,,,-9.8,,,,,
114,盔林,2021-01-03,-9.6,,,,0.7,,90,,63,,1.9,-15.3,1015.1,,1035,,,9,,9,,,5,0,,,1748,,,-9.9,,,,,
114,盔林,2021-01-03,-9.9,,,,0.5,,90,,63,,1.8,-15.6,1015.4,,1035.3,,,9,,9,,,0,0,,,1654,,,-10.1,,,,,
114,盔林,2021-01-03,-10.2,,,,0,,0,,64,,1.8,-15.7,1015.7,,1035.6,,0,,0,,,,0,0,,,1707,,,-10.1,,,,,
114,盔林,2021-01-03,-8.1,,,,0.5,,90,,54,,1.8,-15.7,1016,,1035.8,,0.7,,0.3,,,,0,0,,,1896,,,-8.1,,,,,
114,盔林,2021-01-03,-5.4,,,,0.9,,90,,45,,1.8,-15.4,1016,,1035.5,,1,,0.91,,,,0,0,,,1824,,,-5.4,,,,,
114,盔林,2021-01-03,-4,,,,0.9,,290,,32,,1.5,-18.3,1015.2,,1034.6,,1,,1.43,,,,0,0,,,2000,,,-0.4,,,,,
114,盔林,2021-01-03,-3.1,,,,0.9,,270,,28,,1.4,-19,1014.6,,1034,,1,,1.77,,,,0,0,,,1965,,,3,,,,,
114,盔林,2021-01-03,-2.2,,,,1.8,,250,,28,,1.5,-18.2,1014.2,,1033.5,,1,,1.87,,,,0,0,,,1942,,,5.4,,,,,
114,盔林,2021-01-03,-1.9,,,,1.6,,270,,29,,1.5,-17.6,1014.1,,1033.4,,0.8,,1.45,,,,5,0,,,1983,,,2,,,,,
114,盔林,2021-01-03,-1.3,,,,1.5,,270,,32,,1.8,-15.9,1014,,1033.2,,0.1,,0.69,,,,9,,,,2000,,,0.4,,,,,
114,盔林,2021-01-03,-1.3,,,,1.4,,200,,34,,1.9,-15.1,1013.5,,1032.7,,0,,0.44,,,,10,1,,47,2000,,,-0.6,,,,,
114,盔林,2021-01-03,-1.3,,,,1.1,,250,,36,,2,-14.4,1013.5,,1032.7,,0,,0.18,,,,10,0,,,2000,,,-0.8,,,,,
114,盔林,2021-01-03,-1.9,,,,0.7,,200,,39,,2.1,-14,1013.5,,1032.7,,0,,0,,,,8,0,,,2000,,,-1.7,,,,,
114,盔林,2021-01-03,-2.6,,,,0.9,,200,,43,,2.2,-13.4,1014,,1033.3,,,9,,9,,,4,0,,,1967,,,-3.5,,,,,
114,盔林,2021-01-03,-3.9,,,,0.5,,230,,48,,2.2,-13.3,1014.4,,1033.8,,,9,,9,,,0,0,,,1963,,,-5.1,,,,,
114,盔林,2021-01-03,-5.2,,,,0,,0,,58,,2.4,-12.1,1014.8,,1034.3,,,9,,9,,,0,0,,,1609,,,-6,,,,,
114,盔林,2021-01-03,-6,,,,0.3,,0,,62,,2.4,-12.1,1014.6,,1034.2,,,9,,9,,,0,0,,,1417,,,-7,,,,,
114,盔林,2021-01-03,-6.6,,,,0.1,,0,,63,,2.4,-12.4,1014.7,,1034.3,,,9,,9,,,0,0,,,1410,,,-7.5,,,,,
114,盔林,2021-01-04,-7.3,,,,0,,0,,68,,2.4,-12.2,1014.5,,1034.2,,,9,,9,,,0,0,,,1282,,,-8,,,,,
114,盔林,2021-01-04,-7.8,,,,0.3,,0,,71,,2.4,-12.1,1014.9,,1034.6,,,9,,9,,,0,0,,,1093,,,-8.5,,,,,
114,盔林,2021-01-04,-8.7,,,,0,,0,,73,,2.3,-12.6,1015.1,,1034.9,,,9,,9,,,0,0,,,1149,,,-8.8,,,,,
114,盔林,2021-01-04,-8.9,,,,0.1,,0,,73,,2.3,-12.8,1015.2,,1035,,,9,,9,,,0,0,,,1064,,,-9.1,,,,,
114,盔林,2021-01-04,-9.4,,,,0.4,,0,,76,,2.3,-12.8,1014.8,,1034.6,,,9,,9,,,0,0,,,1023,,,-9.4,,,,,
114,盔林,2021-01-04,-10.1,,,,0.2,,0,,77,,2.2,-13.3,1014.7,,1034.6,,,9,,9,,,0,0,,,969,,,-9.6,,,,,
114,盔林,2021-01-04,-10.4,,,,0.7,,50,,78,,2.2,-13.5,1014.9,,1034.8,,,9,,9,,,0,0,,,941,,,-9.8,,,,,
114,盔林,2021-01-04,-10.8,,,,0.7,,20,,81,,2.2,-13.4,1014.2,,1034.1,,,9,,9,,,0,0,,,834,,,-10,,,,,
114,盔林,2021-01-04,-10.9,,,,0.4,,0,,80,,2.1,-13.6,1014.6,,1034.5,,0,,0,,,,0,0,,,995,,,-9.9,,,,,
114,盔林,2021-01-04,-9.5,,,,0.5,,290,,73,,2.2,-13.4,1015,,1034.9,,0.7,,0.35,,,,0,0,,,1088,,,-7.9,,,,,
114,盔林,2021-01-04,-7.9,,,,0.8,,20,,64,,2.2,-13.5,1014.8,,1034.5,,1,,0.97,,,,0,0,,,1059,,,-5.2,,,,,
114,盔林,2021-01-04,-6,,,,0.8,,20,,54,,2.1,-13.8,1014.6,,1034.2,,1,,1.37,,,,0,0,,,1463,,,-0.6,,,,,
114,盔林,2021-01-04,-3.2,,,,0.4,,0,,39,,1.9,-15.2,1013.7,,1033.1,,1,,1.65,,,,1,0,,,1601,,,2.6,,,,,
114,盔林,2021-01-04,-1.2,,,,0.7,,50,,32,,1.8,-15.8,1012.2,,1031.4,,1,,1.74,,,,1,0,,,1842,,,5.6,,,,,
114,盔林,2021-01-04,0.6,,,,1.7,,290,,21,,1.3,-19.2,1011.4,,1030.4,,1,,1.62,,,,0,0,,,2000,,,5.7,,,,,
114,盔林,2021-01-04,1.3,,,,0.6,,340,,22,,1.5,-18.1,1010.8,,1029.8,,1,,1.32,,,,3,1,,17,2000,,,2.1,,,,,
114,盔林,2021-01-04,1.1,,,,1.1,,20,,25,,1.7,-16.7,1010.7,,1029.7,,0.5,,0.65,,,,6,6,,13,2000,,,0.9,,,,,
114,盔林,2021-01-04,0.7,,,,0.6,,360,,30,,1.9,-14.9,1010.5,,1029.5,,0,,0.17,,,,9,9,,13,2000,,,-0.3,,,,,
114,盔林,2021-01-04,0.3,,,,0.6,,70,,30,,1.9,-15.2,1010.4,,1029.4,,0,,0,,,,9,9,,12,2000,,,-0.6,,,,,
114,盔林,2021-01-04,-0.6,,,,0.4,,0,,35,,2,-14.2,1009.8,,1028.9,,,9,,9,,,9,7,,11,1840,,,-1.2,,,,,
114,盔林,2021-01-04,-0.2,,,,0.9,,360,,36,,2.2,-13.5,1009.9,,1029,,,9,,9,,,10,10,,10,1815,,,-1,,,,,
114,盔林,2021-01-04,-0.5,,,,0.4,,0,,43,,2.5,-11.5,1009.5,,1028.6,,,9,,9,,,10,10,,9,1942,,,-1.1,,,,,
114,盔林,2021-01-04,-0.5,,,,0.3,,0,,44,,2.6,-11.2,1009.3,,1028.4,,,9,,9,,,10,10,,10,1933,,,-1.1,,,,,
114,盔林,2021-01-04,-0.7,,,,0.3,,0,,44,,2.6,-11.4,1009,,1028.1,,,9,,9,,,10,10,,10,1881,,,-1.3,,,,,
114,盔林,2021-01-05,-0.7,,0,,0.2,,0,,48,,2.8,-10.3,1009.5,,1028.6,,,9,,9,,,10,10,,,1524,,,-1.3,,,,,
114,盔林,2021-01-05,-1.6,,,9,0,,0,,63,,3.4,-7.7,1009.5,,1028.6,,,9,,9,,,10,10,,7,722,,,-1.5,,,,,
114,盔林,2021-01-05,-2,,,9,1.1,,50,,70,,3.7,-6.7,1009.4,,1028.6,,,9,,9,,,10,10,,6,765,,,-1.7,,,,,
114,盔林,2021-01-05,-2,,0,,0.1,,0,,73,,3.8,-6.2,1009.4,,1028.6,,,9,,9,,,2,2,,6,1191,,,-1.7,,,,,
114,盔林,2021-01-05,-2.2,,,9,0.1,,0,,76,,4,-5.8,1008.7,,1027.9,,,9,,9,,,0,0,,,1148,,,-2.3,,,,,
114,盔林,2021-01-05,-2.2,,,9,0.5,,270,,76,,4,-5.8,1008.9,,1028.1,,,9,,9,,,1,1,,9,1135,,,-2.5,,,,,
114,盔林,2021-01-05,-2.4,,0,,0.3,,0,,77,,4,-5.8,1009.3,,1028.5,,,9,,9,,,6,6,,10,1003,,,-3,,,,,
114,盔林,2021-01-05,-3.5,,,9,0,,0,,81,,3.8,-6.2,1009.9,,1029.2,,,9,,9,,,6,4,,,853,,,-4.5,,,,,
114,盔林,2021-01-05,-3.4,,,9,0.2,,0,,78,,3.7,-6.6,1010.9,,1030.2,,0,,0,,,,0,0,,,986,,,-4.1,,,,,
114,盔林,2021-01-05,-2.8,,,9,2.5,,270,,63,,3.1,-8.8,1011.8,,1031.1,,0,,0.16,,,,8,3,,16,1361,,,-2.8,,,,,
114,盔林,2021-01-05,-2.8,,,9,3,,270,,48,,2.4,-12.3,1012.1,,1031.4,,0.9,,0.82,,,,2,0,,,1586,,,-2.7,,,,,
114,盔林,2021-01-05,-2.3,,,9,2.6,,290,,32,,1.6,-16.8,1012.1,,1031.4,,1,,1.4,,,,5,0,,,1888,,,0.5,,,,,
114,盔林,2021-01-05,-2.5,,,9,2.5,,270,,24,,1.2,-20.3,1011.3,,1030.6,,1,,1.78,,,,0,0,,,1931,,,4.2,,,,,
114,盔林,2021-01-05,-1.8,,,9,2.5,,270,,24,,1.3,-19.7,1009.9,,1029.1,,1,,1.89,,,,0,0,,,1957,,,6.4,,,,,
114,盔林,2021-01-05,-0.9,,,9,2.4,,270,,18,,1,-22.3,1009.1,,1028.2,,1,,1.8,,,,0,0,,,1980,,,5.9,,,,,
114,盔林,2021-01-05,-1.5,,,9,3,,230,,18,,1,-22.8,1009.2,,1028.3,,1,,1.51,,,,2,0,,,1945,,,0.2,,,,,
114,盔林,2021-01-05,-2.2,,,9,2.6,,270,,18,,0.9,-23.3,1009,,1028.2,,1,,0.88,,,,6,0,,,2000,,,-0.7,,,,,
114,盔林,2021-01-05,-2.9,,,9,1.8,,270,,20,,1,-22.7,1008.7,,1027.9,,1,,0.4,,,,0,0,,,2000,,,-1.2,,,,,
114,盔林,2021-01-05,-3.5,,,9,1.7,,290,,25,,1.2,-20.7,1009.1,,1028.4,,0,,0.01,,,,0,0,,,2000,,,-3.5,,,,,
114,盔林,2021-01-05,-4.6,,,9,1.4,,290,,28,,1.2,-20.3,1009.7,,1029.1,,,9,,9,,,0,0,,,2000,,,-4.6,,,,,
114,盔林,2021-01-05,-5.2,,,9,0.6,,340,,31,,1.3,-19.7,1010,,1029.4,,,9,,9,,,0,0,,,2000,,,-5.8,,,,,
114,盔林,2021-01-05,-6.5,,,9,0.1,,0,,39,,1.5,-18.2,1010,,1029.5,,,9,,9,,,0,0,,,2000,,,-7.2,,,,,
114,盔林,2021-01-05,-7.6,,,9,0.3,,0,,45,,1.6,-17.5,1009.8,,1029.4,,,9,,9,,,0,0,,,2000,,,-8,,,,,
114,盔林,2021-01-05,-8.3,,,9,0.3,,0,,45,,1.5,-18.1,1009.5,,1029.2,,,9,,9,,,0,0,,,2000,,,-8.6,,,,,
114,盔林,2021-01-06,-8.9,,,9,0.2,,0,,53,,1.7,-16.7,1009.7,,1029.4,,,9,,9,,,0,0,,,2000,,,-9.3,,,,,
114,盔林,2021-01-06,-9.7,,,,0.5,,110,,54,,1.6,-17.2,1009.7,,1029.5,,,9,,9,,,0,0,,,2000,,,-9.8,,,,,
114,盔林,2021-01-06,-10.2,,,,0.1,,0,,57,,1.6,-17.1,1009.7,,1029.5,,,9,,9,,,1,0,,,2000,,,-10.3,,,,,
114,盔林,2021-01-06,-10.5,,,,0.4,,0,,58,,1.6,-17.1,1009.9,,1029.7,,,9,,9,,,0,0,,,2000,,,-10.7,,,,,
114,盔林,2021-01-06,-11,,,,0.3,,0,,62,,1.6,-16.8,1009.3,,1029.1,,,9,,9,,,0,0,,,1970,,,-11,,,,,
114,盔林,2021-01-06,-12.2,,,,0.5,,50,,68,,1.6,-16.9,1008.6,,1028.5,,,9,,9,,,2,0,,,1763,,,-11.3,,,,,
114,盔林,2021-01-06,-12.5,,,,0.1,,0,,70,,1.6,-16.8,1008.4,,1028.4,,,9,,9,,,0,0,,,1631,,,-11.5,,,,,
114,盔林,2021-01-06,-13.3,,,,1,,20,,73,,1.6,-17.1,1008.8,,1028.8,,,9,,9,,,0,0,,,1605,,,-11.6,,,,,
114,盔林,2021-01-06,-13.5,,,,0.2,,0,,74,,1.6,-17.1,1008.2,,1028.2,,0,,0,,,,5,0,,,1549,,,-11.6,,,,,
114,盔林,2021-01-06,-12.7,,,,1.2,,20,,68,,1.6,-17.3,1008.6,,1028.6,,0.7,,0.37,,,,0,0,,,1445,,,-9.9,,,,,
114,盔林,2021-01-06,-10,,,,0.8,,70,,59,,1.7,-16.5,1009.1,,1028.9,,1,,1.05,,,,0,0,,,1762,,,-7.4,,,,,
114,盔林,2021-01-06,-8,,,,0.9,,160,,46,,1.5,-17.6,1008.3,,1027.9,,1,,1.49,,,,1,0,,,1996,,,-0.5,,,,,
114,盔林,2021-01-06,-6.7,,,,0.6,,50,,37,,1.4,-19,1006.6,,1026.1,,1,,1.8,,,,0,0,,,1943,,,3.5,,,,,
114,盔林,2021-01-06,-5.2,,,,1.2,,290,,31,,1.3,-19.7,1005.6,,1025,,1,,1.95,,,,0,0,,,2000,,,5.7,,,,,
114,盔林,2021-01-06,-4.2,,,,1.1,,70,,25,,1.1,-21.3,1003.4,,1022.6,,1,,1.86,,,,0,0,,,2000,,,6.1,,,,,
114,盔林,2021-01-06,-3.7,,,,0.7,,250,,23,,1.1,-21.8,1002.9,,1022.1,,1,,1.53,,,,0,0,,,2000,,,-0.1,,,,,
114,盔林,2021-01-06,-3.8,,,,1.4,,200,,22,,1,-22.4,1002.6,,1021.8,,1,,1.01,,,,0,0,,,2000,,,-0.9,,,,,
114,盔林,2021-01-06,-4.1,,,,1.7,,200,,23,,1,-22.2,1002.5,,1021.7,,1,,0.41,,,,0,0,,,2000,,,-2.5,,,,,
114,盔林,2021-01-06,-5.5,,,,1,,140,,30,,1.2,-20.3,1001.9,,1021.2,,0,,0,,,,0,0,,,2000,,,-4.5,,,,,
114,盔林,2021-01-06,-5.5,,,,1,,140,,31,,1.3,-19.9,1000.6,,1019.9,,,9,,9,,,8,1,,21,2000,,,-5.6,,,,,
114,盔林,2021-01-06,-4.5,,,,0.6,,200,,29,,1.3,-19.8,999.6,,1018.8,,,9,,9,,,9,5,,14,2000,,,-5,,,,,
114,盔林,2021-01-06,-3.7,,0,,3,,230,,56,,2.6,-11.2,998.7,,1017.8,,,9,,9,,,10,10,,7,1586,,,-3.8,,,,,
114,盔林,2021-01-06,-4.4,,,9,2.1,,200,,77,,3.4,-7.8,997.3,,1016.4,,,9,,9,,,10,10,,3,144,,,-3.6,,,,,
114,盔林,2021-01-06,-5,,,9,0.6,,320,,87,,3.7,-6.8,997.2,,1016.4,,,9,,9,1.7,,10,5,,2,96,,,-2.9,,,,,
114,盔林,2021-01-07,-4.1,,0.4,,2.4,,230,,80,,3.6,-7,996.2,,1015.3,,,9,,9,2.4,,1,1,,,187,,,-2.5,,,,,
114,盔林,2021-01-07,-5.5,,,9,4.2,,290,,71,,2.9,-9.9,997.8,,1017,,,9,,9,3.5,,10,2,,8,962,,,-2.3,,,,,
114,盔林,2021-01-07,-7.5,,,9,4,,270,,65,,2.3,-12.9,1000.5,,1019.9,,,9,,9,3.5,,10,8,,5,1443,,,-2.1,,,,,
114,盔林,2021-01-07,-9,,0.5,,4.4,,290,,52,,1.6,-17,1001.7,,1021.3,,,9,,9,3.5,,8,1,,12,1142,,,-2.2,,,,,
114,盔林,2021-01-07,-10.7,,,9,4.1,,290,,43,,1.2,-20.8,1002.2,,1021.9,,,9,,9,3.3,,9,3,,14,1461,,,-2.3,,,,,
114,盔林,2021-01-07,-12.5,,,9,2.9,,270,,41,,1,-23,1002.7,,1022.5,,,9,,9,3.2,,0,0,,,2000,,,-2.6,,,,,
114,盔林,2021-01-07,-13.6,,,9,3.4,,290,,42,,0.9,-23.7,1003.9,,1023.9,,,9,,9,3,,0,0,,,1877,,,-2.8,,,,,
114,盔林,2021-01-07,-14.5,,,9,3,,290,,48,,1,-23.1,1004.8,,1024.9,,,9,,9,2.9,,0,0,,,2000,,,-3,,,,,
114,盔林,2021-01-07,-15.1,,,9,2.8,,290,,49,,0.9,-23.4,1006,,1026.1,,0,,0,,2.8,,1,1,,,2000,,,-3.1,,,,,
114,盔林,2021-01-07,-14.5,,,9,2.6,,270,,45,,0.9,-23.8,1007.2,,1027.3,,0.7,,0.27,,2.6,,0,0,,,1982,,,-3.1,,,,,
114,盔林,2021-01-07,-14.1,,,9,2.6,,270,,39,,0.8,-25,1007.8,,1027.9,,1,,0.95,,2.4,,0,0,,,1960,,,-2.7,,,,,
114,盔林,2021-01-07,-13.1,,,9,1.6,,250,,36,,0.8,-25,1007.5,,1027.5,,1,,1.51,,2.1,,0,0,,,1892,,,-2,,,,,
114,盔林,2021-01-07,-11.9,,,9,2.4,,290,,35,,0.9,-24.3,1006.7,,1026.6,,1,,1.89,,1.9,,0,0,,,1955,,,-1.4,,,,,
114,盔林,2021-01-07,-11.5,,,9,2.4,,290,,32,,0.8,-24.9,1006.2,,1026,,1,,2.03,,1.8,,0,0,,,1967,,,-1.1,,,,,
114,盔林,2021-01-07,-11.3,,,9,2.3,,290,,31,,0.8,-25.1,1005.8,,1025.6,,1,,1.93,,1.4,,0,0,,,2000,,,-1.1,,,,,
