건축구분,허가번호,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),증축연면적(㎡),구조,주용도,부속용도,설계자 전화번호,설계사무소명
신축,2021-신속허가과-신축허가-28,강원도 원주시 지정면 월송리 산 121-8,임야,"25,199","7,105.76","9,703.57",,철근콘크리트구조,운동시설,골프장 부대시설 (클럽하우스),,LESS PAD 건축사사무소
신축,2021-신속허가과-신축허가-27,강원도 원주시 문막읍 동화리 713-1 외2필지,전,"2,311",395.28,395.28,,경량철골구조,제2종근린생활시설,"(제조업,사무소)",,조은 건축사사무소
신축,2021-신속허가과-신축허가-25,강원도 원주시 단계동 813-3,대,223.9,124.72,309.78,,철근콘크리트구조,단독주택,제1종근린생활시설 및 다가구주택,033-748-8845,가산종합건축사사무소
신축,2021-신속허가과-신축허가-26,강원도 원주시 무실동 산 49-5 외1필지,임야,"6,531",697.95,941.49,,철근콘크리트구조,단독주택,,033-747-5799,건축사사무소 지인
신축,2021-안전도시과-신축허가-15,강원도 원주시 반곡동 2031-8,대,281.8,99.6,145.54,,철근콘크리트구조,단독주택,,,비케이건축사사무소
신축,2021-안전도시과-신축허가-14,강원도 원주시 반곡동 1956-14,대,330,93.35,140.85,,철근콘크리트구조,단독주택,,033-748-4214,건축사사무소 담아
용도변경,2021-건축과-용도변경허가-18,강원도 원주시 지정면 가곡리 1495-1,대,"1,953.3","1,255.74","14,448.55",,,제1종근린생활시설,"2종 근린생활시설, 업무시설(사무소), 교육연구시설(학원), 운동시설",033-765-9232,주식회사 흙엔지니어링건축사사무소
신축,2021-신속허가과-신축허가-24,강원도 원주시 지정면 간현리 863-12,대,222,129.49,147.45,,철근콘크리트구조,단독주택,"단독주택,제1종근린생활시설",031-761-7207,주식회사 아이씨디건축사사무소
신축,2021-안전도시과-신축허가-13,강원도 원주시 단구동 1485-1,대,414.3,239.01,292.68,,일반철골구조,제2종근린생활시설,"(사무소,창고)",033-433-2611,(주)세움건축사사무소
신축,2021-안전도시과-신축허가-12,강원도 원주시 반곡동 1963-18,대,341.9,125.55,198.64,,철근콘크리트구조,단독주택,단독주택,033-746-3642,한울종합건축사사무소
용도변경,2021-건축과-용도변경허가-15,강원도 원주시 무실동 1857-6,대,"2,049.5","1,586.5","22,364.15",,철근콘크리트구조,업무시설,"업무시설 및 제1,2종근린생활시설",0337656111,건축사사무소조형
용도변경,2021-건축과-용도변경허가-16,강원도 원주시 무실동 1857-6,대,"2,049.5","1,586.5","22,364.15",,철근콘크리트구조,업무시설,"업무시설 및 제1,2종근린생활시설",0337656111,건축사사무소조형
용도변경,2021-건축과-용도변경허가-17,강원도 원주시 무실동 1857-6,대,"2,049.5","1,586.5","22,364.15",,철근콘크리트구조,업무시설,"업무시설 및 제1,2종근린생활시설",0337656111,건축사사무소조형
신축,2021-신속허가과-신축허가-23,강원도 원주시 무실동 138,답,"2,564",507.5,"1,015",,일반철골구조,제1종근린생활시설,"소매점, 사무실",033-256-2994,(주)산이앤씨건축사사무소
용도변경,2021-건축과-용도변경허가-14,강원도 원주시 반곡동 1894-6,대,"30,539.4","13,893.38","62,178.66",,,업무시설,"업무시설, 제1,2종근린생활시설",033-733-8207,종합건축사사무소 한신
신축,2021-신속허가과-신축허가-22,강원도 원주시 부론면 노림리 1296 외1필지,답,"4,036","2,420","2,420",,일반철골구조,동.식물관련시설,"축사,퇴비사",033-748-4214,건축사사무소 담아
신축,2021-신속허가과-공용건축물-4,강원도 원주시 봉산동 902-206 외1필지,대,116,59.81,164.82,,철근콘크리트구조,단독주택,다가구주택,033-744-1120,건축사사무소 아디프
증축,2021-신속허가과-증축허가-4,강원도 원주시 봉산동 902-208,대,185,109.2,298.7,109.2,철근콘크리트구조,제1종근린생활시설,소매점,033-748-7345,계명건축사사무소
용도변경,2021-건축과-용도변경허가-13,강원도 원주시 행구동 1754-2 외6필지,대,"8,299","2,848.27","4,875.535",,,제2종근린생활시설,"판매시설, 사무소, 일반음식점, 의원, 골프연습장",033-748-9658,(주)해인안전진단건축사사무소
신축,2021-신속허가과-신축허가-21,강원도 원주시 신림면 황둔리 426-9,전,"4,560","1,641.72","1,636.92",,일반철골구조,공장,,02-488-5460,아트피아건축사사무소
신축,2021-안전도시과-신축허가-11,강원도 원주시 반곡동 1963-22,대,347.7,152.64,241.14,,철근콘크리트구조,단독주택,단독주택,070-7722-1595,주식회사 삼정건축사사무소
용도변경,2021-건축과-용도변경허가-11,강원도 원주시 지정면 가곡리 1495-1 외1필지,대,"1,953.3","1,255.74","14,448.55",,,제1종근린생활시설,"제2종근린생활시설, 업무시설(사무소), 교육연구시설(학원), 운동시설",033-765-9232,주식회사 흙엔지니어링건축사사무소
용도변경,2021-건축과-용도변경허가-12,강원도 원주시 지정면 가곡리 1495-1,대,"1,953.3","1,255.74","14,448.55",,,제1종근린생활시설,"2종 근린생활시설, 업무시설(사무소), 교육연구시설(학원), 운동시설",033-765-9232,주식회사 흙엔지니어링건축사사무소
증축,2021-신속허가과-공용건축물-3,강원도 원주시 부론면 흥호리 635-6 외2필지,대,"1,366",197.62,233.23,74.06,기타조적구조,야영장시설,관리동,,(주)성우엔지니어링종합건축사사무소
증축,2021-신속허가과-증축허가-3,강원도 원주시 문막읍 반계리 1-4,대,"16,708","4,999.07","6,902.53",776,일반철골구조,창고시설,하역장,02-558-5428,(주)신예이엔씨건축사사무소
용도변경,2021-건축과-용도변경허가-10,강원도 원주시 흥업면 사제리 1118-2,대,512,60,60,,경량철골구조,제1종근린생활시설,제1종근린생활시설,033-761-2600,삼예건축사사무소
신축,2021-안전도시과-신축허가-10,강원도 원주시 관설동 1437,답,632,327.38,963.9,,철근콘크리트구조,제1종근린생활시설,소매점,033-765-7725,건축사사무소길
신축,2021-안전도시과-신축허가-9,강원도 원주시 반곡동 1991-14,대,281.5,159.27,353.58,,철근콘크리트구조,단독주택,다가구주택,033-743-5841,태기건축사사무소
신축,2021-신속허가과-신축허가-20,강원도 원주시 일산동 184-35,대,253.8,141.65,473.07,,철근콘크리트구조,제2종근린생활시설,다가구주택 및 근린생활시설,033-748-2526,건축사사무소 도원
신축,2021-안전도시과-신축허가-7,강원도 원주시 반곡동 2038-5,대,271.7,94.41,150.71,,일반목구조,단독주택,단독주택,033-746-3642,한울종합건축사사무소
신축,2021-안전도시과-신축허가-8,강원도 원주시 반곡동 1963-25,대,344.7,109,172.35,,일반목구조,단독주택,,033-765-7725,건축사사무소길
신축,2021-신속허가과-신축허가-19,강원도 원주시 우산동 297-3,대,"1,393",683,"2,464.17",,철근콘크리트구조,업무시설,오피스텔,042-485-0671,건축사사무소 예당
용도변경,2021-건축과-용도변경허가-9,강원도 원주시 지정면 안창리 700-5,대,555,101.16,101.16,,철근콘크리트구조,제2종근린생활시설,,033-743-9961,건축사사무소 이지
신축,2021-신속허가과-신축허가-18,강원도 원주시 지정면 월송리 산 27-5,임야,"4,772",934.68,"1,518.99",,일반철골구조,제2종근린생활시설,일반음식점,02-421-0152,송현그룹건축사사무소(주)
신축,2021-신속허가과-신축허가-17,강원도 원주시 지정면 판대리 산 117-7,임야,"2,416",526.23,742.22,,철근콘크리트구조,제1종근린생활시설,,033-732-6363,공간건축사사무소
신축,2021-신속허가과-신축허가-45,강원도 원주시 우산동 241-2,대,235,139.28,465.3,,철근콘크리트구조,단독주택,다가구 및 근린생활시설,033-748-2526,건축사사무소 도원
신축,2021-신속허가과-신축허가-46,강원도 원주시 일산동 234-37,대,191.3,113.18,378.44,,철근콘크리트구조,단독주택,근생및다가구주택,033-748-2526,건축사사무소 도원
증축,2021-안전도시과-증축허가-1,강원도 원주시 단구동 724-18 외2필지,대,"1,511",850.74,850.74,704,일반철골구조,운동시설,판매시설,033-746-8564,건축사사무소대원
신축,2021-신속허가과-신축허가-43,강원도 원주시 문막읍 건등리 371-8,전,835,499.21,499.21,,일반철골구조,제2종근린생활시설,사무소,033-743-9041,남일건축사사무소
신축,2021-신속허가과-신축허가-44,강원도 원주시 우산동 241-2,대,251,146.88,406.18,,철근콘크리트구조,단독주택,다가구 및 근린생활시설,033-748-2526,건축사사무소 도원
증축,2021-신속허가과-공용건축물-9,강원도 원주시 무실동 1,대,"109,241.7","10,661.16","50,491.4",160.11,일반철골구조,업무시설,,033-747-1806,태인도시ENC종합건축사사무소
신축,2021-신속허가과-신축허가-41,강원도 원주시 우산동 297-15,대,"1,540.5",923.72,"2,903.35",,철근콘크리트구조,업무시설,오피스텔,031-627-2200,준 건축사사무소 주식회사
신축,2021-신속허가과-신축허가-42,강원도 원주시 소초면 장양리 96-4,전,"1,502",336.6,673.2,,일반철골구조,창고시설,,033-743-9961,건축사사무소 이지
신축,2021-신속허가과-신축허가-40,강원도 원주시 문막읍 문막리 533-2,대,"2,265","1,064.95",991.35,,일반철골구조,제1종근린생활시설,,033-735-6799,대들보 건축사사무소
용도변경,2021-안전도시과-용도변경허가-2,강원도 원주시 단구동 1516-5 외1필지,대,921.2,397.85,"1,302.83",,철근콘크리트구조,업무시설,,033-748-9658,(주)해인안전진단건축사사무소
신축,2021-신속허가과-신축허가-39,강원도 원주시 흥업면 흥업리 63-18,대,359.12,202.26,712.64,,철근콘크리트구조,단독주택,"업무시설,제2종근린생활시설",033-746-8564,건축사사무소대원
증축,2021-신속허가과-증축허가-10,강원도 원주시 흥업면 사제리 1377-1,공장용지,"2,890",828.21,828.21,256.21,경량철골구조,공장,,033-748-0075,건축사사무소조원
신축,2021-신속허가과-신축허가-38,강원도 원주시 소초면 장양리 187-5 외1필지,전,"1,123",411.5,411.5,,일반철골구조,제1종근린생활시설,"소매점, 사무소",,조은 건축사사무소
증축,2021-신속허가과-증축허가-9,강원도 원주시 호저면 만종리 593-12 외1필지,잡종지,"2,213",281.7,528.9,528.9,철근콘크리트구조,제2종근린생활시설,사무소,033-747-0447,동성건축사사무소
용도변경,2021-건축과-용도변경허가-23,강원도 원주시 반곡동 1899-1,대,918.5,617.34,"4,882.86",,철근콘크리트구조,제2종근린생활시설,"제1종근생,노유자시설",033-743-9041,남일건축사사무소
신축,2021-안전도시과-신축허가-20,강원도 원주시 반곡동 2039-8,대,317.3,124.11,198.37,,철근콘크리트구조,단독주택,단독주택,033-744-1120,건축사사무소 아디프
신축,2021-신속허가과-신축허가-36,강원도 원주시 지정면 신평리 1167-1,대,372.7,105.74,172.76,,철근콘크리트구조,단독주택,,033-743-9041,남일건축사사무소
신축,2021-신속허가과-신축허가-37,강원도 원주시 개운동 203-52,대,217,113.58,182.79,,철근콘크리트구조,단독주택,다가구주택(2가구),033-764-8566,라인종합건축사사무소
신축,2021-신속허가과-신축허가-34,강원도 원주시 문막읍 후용리 487-3 외2필지,답,"1,045",207.35,622.05,,철근콘크리트구조,단독주택,제2종근린생활시설,033-743-5841,태기건축사사무소
신축,2021-신속허가과-신축허가-35,강원도 원주시 태장동 2516 외1필지,전,764,198,198,,일반철골구조,창고시설,창고,033-743-5841,태기건축사사무소
신축,2021-안전도시과-신축허가-17,강원도 원주시 반곡동 1939-5,대,281.4,167.48,398.94,,철근콘크리트구조,단독주택,근린생활시설,033-765-7725,건축사사무소길
신축,2021-안전도시과-신축허가-18,강원도 원주시 반곡동 2001-4,대,340.1,102.58,175.63,,일반목구조,단독주택,,033-743-5841,태기건축사사무소
신축,2021-안전도시과-신축허가-19,강원도 원주시 반곡동 2031-15,대,289.1,109.15,149.96,,철근콘크리트구조,단독주택,,,비케이건축사사무소
신축,2021-신속허가과-신축허가-33,강원도 원주시 소초면 평장리 890-6,전,"1,322",330,330,,일반철골구조,제2종근린생활시설,,033-743-9961,건축사사무소 이지
증축,2021-신속허가과-증축허가-7,강원도 원주시 문막읍 반계리 1093-1 외1필지,잡종지,"8,342","4,039","4,580.31",332.12,일반철골구조,창고시설,창고 및 부속사무실,,보이드 건축사사무소
신축,2021-신속허가과-공용건축물-8,강원도 원주시 무실동 산 48-8 외2필지,임야,"9,203","1,452.86","3,678.07",,철근콘크리트구조,운동시설,,070-7609-4353,주식회사 토펙건축사사무소
증축,2021-신속허가과-증축허가-8,강원도 원주시 소초면 수암리 1524,대,"1,410",396.91,595.82,397.82,일반철골구조,제1종근린생활시설,소매점,,건축사사무소 율
용도변경,2021-건축과-용도변경허가-22,강원도 원주시 지정면 가곡리 1350-1,대,"6,804","5,389.92","29,532.87",,철근콘크리트구조,제1종근린생활시설,,033-747-1806,태인도시ENC종합건축사사무소
신축,2021-신속허가과-신축허가-32,강원도 원주시 우산동 275-8,대,506,256.35,711.52,,철근콘크리트구조,단독주택,제2종근린생활시설,033-735-1731,서화건축사사무소
대수선,2021-신속허가과-공용건축물-7,강원도 원주시 명륜동 259,대,"1,715",614.91,"2,511.94",,철근콘크리트구조,교육연구시설,,070-4239-7010,건축사사무소 스튜디오더원
신축,2021-안전도시과-신축허가-16,강원도 원주시 단구동 851-6 외1필지,임야,251,145.36,545.76,,철근콘크리트구조,제1종근린생활시설,"소매점,제2종근린생활시설(사무소),단독주택",,건축사사무소 보이드
용도변경,2021-건축과-용도변경허가-21,강원도 원주시 우산동 124-11,대,377.1,255.758,484.158,,,제2종근린생활시설,"점포,사무소,일반음식점",033-746-0467,조화 건축사사무소
신축,2021-신속허가과-신축허가-29,강원도 원주시 우산동 297-13,대,661.2,321.17,"1,165.276",,철근콘크리트구조,업무시설,오피스텔,042-485-0671,건축사사무소 예당
신축,2021-신속허가과-신축허가-30,강원도 원주시 무실동 1083,전,596,118,160.5,,철근콘크리트구조,단독주택,,033-747-5077,주식회사건축사사무소이노
신축,2021-신속허가과-신축허가-31,강원도 원주시 태장동 543-8 외1필지,대,"1,298",682.41,677.16,,일반철골구조,제1종근린생활시설,제2종근린생활시설,033-746-0467,조화 건축사사무소
증축,2021-신속허가과-증축허가-5,강원도 원주시 소초면 흥양리 87 외1필지,공장용지,"18,932","1,401.48","1,574.16",902.28,일반철골구조,공장,,033-735-1436,(주)윤건축사사무소
증축,2021-신속허가과-증축허가-6,강원도 원주시 문막읍 반계리 2224,공장용지,"3,317.8","1,105.83","4,998.09","3,345.6",일반철골구조,공장,공장,,율건축사사무소
용도변경,2021-건축과-용도변경허가-20,강원도 원주시 흥업면 대안리 2160-10,대,643,74.93,74.93,,경량철골구조,단독주택,,033-744-0240,이레건축사사무소
증축,2021-신속허가과-증축허가-15,강원도 원주시 행구동 200-22,대,"1,271",507.47,"1,045.13",203.67,일반철골구조,제2종근린생활시설,일반음식점,033-731-0472,예상건축사사무소
신축,2021-신속허가과-신축허가-68,강원도 원주시 가현동 693-3 외4필지,전,"3,955","1,425","1,425",,일반철골구조,창고시설,창고시설,033-743-2743,종합건축사사무소 비전
신축,2021-신속허가과-신축허가-69,강원도 원주시 단계동 1194-6,대,387.6,180.91,709.75,,철근콘크리트구조,단독주택,"사무소,다가구",033-743-9041,남일건축사사무소
대수선,2021-신속허가과-대수선허가-2,강원도 원주시 문막읍 문막리 262,대,336,211.22,663.3,,철근콘크리트구조,단독주택,다가구-3,033)765-6111,건축사사무소조형
신축,2021-신속허가과-신축허가-65,강원도 원주시 부론면 노림리 1284,답,"3,924","2,196","2,196",,일반철골구조,동.식물관련시설,동.식물관련시설,033-731-5084,성호건축사사무소
신축,2021-신속허가과-신축허가-66,강원도 원주시 태장동 2305-7 외4필지,임야,"4,287",795.95,"4,397.05",,철근콘크리트구조,자동차관련시설,바.정비공장,051-241-6017,홍익건축사사무소(유)
신축,2021-신속허가과-신축허가-67,강원도 원주시 태장동 1547-5 외2필지,잡종지,"2,462",465.34,465.34,,일반철골구조,창고시설,,033-763-2170,건축사사무소예림
용도변경,2021-건축과-용도변경허가-29,강원도 원주시 반곡동 1860-8,대,"8,538.1","3,283.36","11,239.86",,,의료시설,병원,033-766-7079,가나건축사사무소
신축,2021-신속허가과-신축허가-64,강원도 원주시 단계동 558-1,대,866,162,162,,일반철골구조,제2종근린생활시설,사무소,033-747-0447,동성건축사사무소
신축,2021-신속허가과-신축허가-62,강원도 원주시 행구동 153-3 외1필지,대,883,204.7,292.8,,철근콘크리트구조,제1종근린생활시설,"제2종근린생활시설,단독주택",033-765-7725,건축사사무소길
신축,2021-신속허가과-신축허가-63,강원도 원주시 소초면 교항리 1096,답,"1,210",285,481.76,,일반철골구조,제2종근린생활시설,제조업소,033-743-2743,종합건축사사무소 비전
용도변경,2021-건축과-용도변경허가-28,강원도 원주시 무실동 1722-7,대,742.2,544.77,"1,970.81",,철근콘크리트구조,공동주택,"제1,2종근린생활시설,노유자시설",033-743-9961,건축사사무소 이지
용도변경,2021-안전도시과-용도변경허가-3,강원도 원주시 반곡동 1452,대,472,280.78,"1,190.327",,철근콘크리트구조,교육연구시설,"제1,2종근린생활시설",033-746-3642,한울종합건축사사무소
신축,2021-신속허가과-신축허가-61,강원도 원주시 태장동 1042-6 외2필지,대,"3,369",702.12,702.12,,철근콘크리트구조,단독주택,,033-743-2743,종합건축사사무소 비전
대수선,2021-신속허가과-대수선허가-1,강원도 원주시 문막읍 동화리 141,공장용지,"3,792",893.38,991.88,,일반철골구조,공장,"콘크리트타일,벽돌,블록제조업",070-4239-7009,건축사사무소 스튜디오더원
증축,2021-신속허가과-증축허가-14,강원도 원주시 문막읍 동화리 190-1 외1필지,대,816,270.66,270.66,150.2,경량철골구조,단독주택,,033-743-5841,태기건축사사무소
용도변경,2021-건축과-용도변경허가-27,강원도 원주시 지정면 간현리 855-7,대,154,52.36,52.36,,벽돌구조,제2종근린생활시설,,02-449-9106,다원건축사사무소
신축,2021-신속허가과-신축허가-60,강원도 원주시 지정면 신평리 1133-6,대,280.4,167.63,340.84,,철근콘크리트구조,단독주택,"단독주택, 제1,2종근린생황시설",,건축사사무소 보이드
신축,2021-신속허가과-신축허가-58,강원도 원주시 지정면 신평리 1131-27,대,232.1,127.98,296.13,,철근콘크리트구조,단독주택,단독주택,,예림건축사사무소
신축,2021-신속허가과-신축허가-59,강원도 원주시 귀래면 운남리 966-4,전,841,191.65,191.65,,일반철골구조,제2종근린생활시설,제조업소,033-763-4568,건축사사무소 수목
용도변경,2021-건축과-용도변경허가-26,강원도 원주시 관설동 1399-25,대,"1,601",679.34,"3,567.23",,철근콘크리트구조,제1종근린생활시설,"소매점,휴게음식점,일반음식점,한방병원",033-747-0447,동성건축사사무소
신축,2021-신속허가과-신축허가-56,강원도 원주시 신림면 신림리 700-5,대,350,109.89,162.99,,철근콘크리트구조,제1종근린생활시설,한의원,,류와 건축사사무소
신축,2021-신속허가과-신축허가-57,강원도 원주시 봉산동 472-41,임야,554,151.8,309.75,,철근콘크리트구조,단독주택,,033-748-2526,건축사사무소 도원
신축,2021-신속허가과-협의건축물-1,강원도 원주시 호저면 주산리 928 외1필지,잡종지,"3,545",499.66,499.66,,일반철골구조,제2종근린생활시설,사무소,033-766-3400,도시공간안전진단건축사사무소(주)
증축,2021-신속허가과-증축허가-13,강원도 원주시 호저면 광격리 420,답,"2,820","1,146.67","1,146.67",480,일반철골구조,동.식물관련시설,동.식물관련시설,033-344-6924,신원 건축사사무소
신축,2021-신속허가과-신축허가-54,강원도 원주시 흥업면 흥업리 950-4 외1필지,대,186.69,110.14,110.14,,일반철골구조,제1종근린생활시설,소매점,02-508-8685,건축사사무소 마음
용도변경,2021-건축과-용도변경허가-25,강원도 원주시 흥업면 흥업리 65-12 외1필지,대,513,350.06,"1,626.27",,,제2종근린생활시설,"제1종근린생활시설,다가구주택",033-735-3546,도시그룹김광수종합건축사사무소
신축,2021-신속허가과-신축허가-52,강원도 원주시 신림면 신림리 158-46,전,900,154.99,448.05,,철근콘크리트구조,단독주택,,,주식회사 단감건축사사무소
신축,2021-신속허가과-신축허가-53,강원도 원주시 지정면 가곡리 1344-1,대,"1,518.4","1,165.6","6,858.15",,철근콘크리트구조,제1종근린생활시설,"제2종근린생활시설, 주차장",,비케이건축사사무소
신축,2021-신속허가과-신축허가-51,강원도 원주시 소초면 수암리 1603-4,목장용지,"2,944",495,495,,경량철골구조,제1종근린생활시설,소매점,033-747-1806,태인도시ENC종합건축사사무소
신축,2021-신속허가과-신축허가-48,강원도 원주시 호저면 만종리 773 외2필지,답,"1,648",594.3,594.3,,일반철골구조,창고시설,,033-743-2743,종합건축사사무소 비전
신축,2021-신속허가과-신축허가-49,강원도 원주시 문막읍 동화리 608-54,전,835,231.4,311.4,,일반철골구조,단독주택,단독주택,033-761-2600,삼예건축사사무소
증축,2021-신속허가과-증축허가-12,강원도 원주시 행구동 1106-3,대,729,262.98,394.5,133.02,철근콘크리트구조,단독주택,(창고),033-743-7711,(주)종합건축사사무소 가우헌
용도변경,2021-건축과-용도변경허가-24,강원도 원주시 행구동 193-2 외1필지,대,668,243.5,396.85,,일반철골구조,제2종근린생활시설,,033-748-9658,(주)해인안전진단건축사사무소
신축,2021-신속허가과-신축허가-47,강원도 원주시 행구동 53-1,과수원,"1,038",347.52,794.04,,철근콘크리트구조,제2종근린생활시설,공연장,033-747-0447,동성건축사사무소
증축,2021-신속허가과-증축허가-11,강원도 원주시 소초면 장양리 1317-6 외1필지,공장용지,"1,736",900.1,"1,031.3",350.35,조립식판넬조,공장,부속창고,033-765-9232,주식회사 흙엔지니어링건축사사무소
증축,2021-신속허가과-증축허가-17,강원도 원주시 태장동 859-10 외1필지,대,884,346.3,426.9,120,일반철골구조,제2종근린생활시설,"사무소, 수리점",033-743-2743,종합건축사사무소 비전
용도변경,2021-건축과-용도변경허가-34,강원도 원주시 태장동 809-10,대,106,44.31,44.31,,기타강구조,제1종근린생활시설,미용원,033-735-3546,도시그룹이종근종합건축사사무소
