,업체명,GRID_X,GRID_Y
162,(주)한서,395367,533520
163,(주)한일티앤씨,382859,521515
164,(주)한일티엠,385900,525628
165,(주)한지이야기,395348,533409
166,(주)헤라비스틸,395441,533653
167,(주)헬스웰메디칼,386000,525701
168,(주)현대이엔지,382939,521163
169,(주)화동뉴텍,384942,525507
170,(주)휠트론,386102,525482
171,(주)휴러스트,385572,525673
172,(주)휴레브,385911,525551
173,153기업 주식회사,395503,533609
174,가아전기(주),395532,533665
175,강원케이엠,394893,530415
176,경원엠텍,395532,533665
177,고려엔비텍(주),395444,533810
178,고려인삼(주),383158,521698
179,그린원,395503,533609
180,금호기업(주),386712,525649
181,길한산업(주),395290,533539
182,농업회사법인 꿈터종합식품(주),383077,521379
183,대덕ENG,383092,521699
184,대산전업,395503,533609
185,대신네트웍스(주),395564,533741
186,대양의료기(주),385572,525776
187,대월식품,394867,530347
188,대한화인세라믹(주),382905,521833
189,대화기기(주),385653,525776
190,덕원산업(주),395008,530645
191,도원,395397,533589
192,동국생명과학(주),395368,533727
193,동아정공(주),384896,525411
194,동해엔지니어링(주),395205,533584
195,디.에스 테크,394867,530347
196,라이팅스퀘어,395348,533409
197,롯데칠성음료주식회사,386135,525342
198,리펭코리아 주식회사,395463,533693
199,명성산업(주),383005,521836
200,명지페인텍,395558,533538
201,미래,395503,533609
202,반곡기업,395514,533635
203,반곡이엔지,395514,533635
204,보성엔티,395597,533520
205,보성엔티 제2공장,395630,533502
206,비.씨.에이취 주식회사,383204,521892
207,비콤시스템(주),382882,521647
208,사조동아원(주),394801,530487
209,사회복지법인 보성복지재단,395630,533502
210,삼아제약주식회사,386556,525619
211,삼양내츄럴스 주식회사,394593,530699
212,삼양식품(주),394677,530602
213,삼양제분 주식회사,394593,530699
214,삼영금속공업(주),383075,521334
215,상선정보기술(주),395781,533803
216,상원(주),395348,533409
217,성경산업(주),383068,521432
218,성우아이엔씨,385572,525673
219,세경산업(주),383074,521278
220,세광정보통신(주),395514,533635
221,세정,385885,525697
222,셉테드솔루션(주),395348,533409
223,송암시스콤(주),386560,525797
224,스탠다드펌(주),382984,521322
225,신성유지,394840,530661
226,신영산업,382859,521515
227,신영테크,386133,525246
228,신원화학주식회사,395135,530627
229,심로악기(주),382904,521773
230,싸이러스,395463,533693
231,쌍용자동차 주식회사,386737,525511
232,씨알에이파이핑코리아(주),385782,526029
233,씨앤씨케어,385497,525850
234,씨엔브이텍(주),395781,533803
235,씨엔아이전자(주),382991,521541
236,아산농산,394919,530498
237,아세아세라믹,382921,521513
238,아신펌프테크,395441,533653
239,아이누리,386414,525943
240,아이에스피 메딕스,385572,525673
241,에이엠티(AMT),395348,533409
242,엘투,395597,533807
243,예온건설 주식회사,395546,533424
244,오승푸드,382923,521408
245,오토리브유한회사,383162,521569
246,우리 태양광발전소,395564,533741
247,원광산업주식회사,383215,521700
248,원주전통한지,394976,530477
249,원주창업보육센터,395348,533409
250,웰텍,395503,533609
251,윔코리아(주),395348,533409
252,유니스파테크(주),385904,525864
253,유민철강(주),394803,530375
254,유성씨앤에프(주),395032,530598
255,윤경산업,395514,533635
256,은도메디텍,395781,533803
257,이화PNC,383197,521392
258,인테그리스코리아 주식회사,386115,525571
259,인하테크(주),384983,525438
260,일륭기공(주),383123,521431
261,재아산업(주),386455,525853
262,제이엠피산업(주)원주공장,383005,521836
263,주식회사 금강페이버,386414,525943
264,주식회사 네오메디코리아,385782,526029
265,주식회사 동산이엔지,383235,521639
266,주식회사 마루치,395781,533803
267,주식회사 만나,395374,533811
268,주식회사 메카,395781,533803
269,주식회사 삼양프루웰,394593,530699
270,주식회사 삼양프루웰 제2공장,394691,530464
271,주식회사 스포컴,386010,525555
272,주식회사 아이넥스,395348,533409
273,주식회사 안도,395348,533409
274,주식회사 안코바이오플라스틱스,383112,521628
275,주식회사 엘칸,395781,533803
276,주식회사 웰프,395199,533515
277,주식회사 이엠,394893,530415
278,주식회사 정한,395503,533609
279,주식회사 지에이,395503,533609
280,주식회사 진명,382938,521520
281,주식회사 티제이아이,384799,525416
282,주식회사 프라이맥스 제2공장,383140,521269
283,주식회사고니메드,385782,526029
284,주식회사농협사료원주배합사료공장,394840,530661
285,창대영농조합법인,383288,521888
286,창우이엔지(주),395463,533693
287,천일신약,394919,530498
288,카멕스이엠(주),386402,525866
289,케이에스,395186,533519
290,코니터프 주식회사,395435,533784
291,클래드코리아 원주(주),385782,526029
292,클린프로텍,395348,533409
293,태영산업,383177,521429
294,태영산업-임대기간만료,382882,521647
295,토다이수(주) 제1공장,383184,521802
296,티원주식회사,395438,533793
297,티제이엔테크,395548,533816
298,파란나라 주식회사,382921,521513
299,필조형문화연구소,395548,533816
300,학교법인고황재단(경희한약),382904,521204
301,학산전력(주),395564,533741
302,한국모노레일(주),383175,521323
303,한국바우텍(주),395463,533693
304,한국아트콘텐츠(주),395441,533653
305,한국유니온제약(주),383108,521895
306,한국유니온제약(주) 제2공장,382965,521941
307,한국유니온제약(주) 제3공장,383184,521950
308,한신콤프레샤,395374,533811
309,한일전기(주),395066,530390
310,한주물산(주),394803,530375
311,해돋이식품,382872,521144
312,해태가루비(주),383088,521090
313,현메딕스,385996,525623
314,후성정공(주),382903,521702
315,휴린트,385572,525673
